" ","score","status","future","trend","pressures","resilience"
"Index",,,,,,
"Food Provision",,,,,,
". Fisheries",,,,,,
". Mariculture",,,,,,
"Artisanal Fishing Opportunity",,,,,,
"Natural Products",,,,,,
"Carbon Storage",,,,,,
"Coastal Protection",,,,,,
"Tourism & Recreation",,,,,,
"Coastal Livelihoods & Economies",,,,,,
". Livelihoods",,,,,,
". Economies",,,,,,
"Sense of Place",,100,,0,,
". Iconic Species",,,,,,
". Lasting Special Places",,100,,0,,
"Clean Waters",,50,,0,,
"Biodiversity",,,,,,
". Habitats",,,,,,
". Species",,,,,,
